time,open,high,low,close,volume
2022-01-03 02:15:00+00:00,46914,47000,46885,46985,1995838.824
2022-01-03 02:30:00+00:00,46990,47046,46969,46978,1658626.249
2022-01-03 02:45:00+00:00,46977,47023,46873,47001,4297395.007
2022-01-03 03:00:00+00:00,47004,47076,46972,46972,2235179.109
2022-01-03 03:15:00+00:00,46956,46970,46895,46970,627849.5927
2022-01-03 03:30:00+00:00,46971,46984,46753,46812,3818563.336
2022-01-03 03:45:00+00:00,46807,46847,46735,46812,3183987.577
2022-01-03 04:00:00+00:00,46806,46881,46761,46869,1290425.787
2022-01-03 04:15:00+00:00,46869,46916,46841,46847,545383.4939
2022-01-03 04:30:00+00:00,46848,46944,46847,46943,657003.6885
2022-01-03 04:45:00+00:00,46943,46944,46821,46829,446136.7017
2022-01-03 05:00:00+00:00,46829,46882,46793,46793,2608127.055
2022-01-03 05:15:00+00:00,46788,47033,46787,46991,4804422.953
2022-01-03 05:30:00+00:00,46991,47215,46985,47161,5419374.477
2022-01-03 05:45:00+00:00,47162,47184,47068,47100,3765176.118
2022-01-03 06:00:00+00:00,47108,47112,47041,47042,2368708.885
2022-01-03 06:15:00+00:00,47041,47053,46974,46986,1904210.042
2022-01-03 06:30:00+00:00,46985,47075,46951,47073,1827875.92
2022-01-03 06:45:00+00:00,47067,47067,46904,46922,1529481.998
2022-01-03 07:00:00+00:00,46931,46936,46878,46936,867201.5915
2022-01-03 07:15:00+00:00,46935,46968,46906,46968,780630.9893
2022-01-03 07:30:00+00:00,46967,47016,46967,46996,979148.7411
2022-01-03 07:45:00+00:00,46997,47073,46971,47067,606768.8485
2022-01-03 08:00:00+00:00,47067,47138,47042,47072,2845972.102
2022-01-03 08:15:00+00:00,47071,47071,47006,47015,757446.8452
2022-01-03 08:30:00+00:00,47013,47030,46956,46974,1571243.435
2022-01-03 08:45:00+00:00,46974,46987,46933,46983,1187131.85
2022-01-03 09:00:00+00:00,46983,47101,46972,46972,1419293.16
2022-01-03 09:15:00+00:00,46971,46971,46798,46808,3954468.536
2022-01-03 09:30:00+00:00,46818,46909,46800,46892,2587772.877
2022-01-03 09:45:00+00:00,46893,46998,46887,46987,907177.4686
2022-01-03 10:00:00+00:00,46987,47241,46987,47185,6436884.6
2022-01-03 10:15:00+00:00,47195,47199,47081,47081,2689308.622
2022-01-03 10:30:00+00:00,47081,47199,47036,47168,1187047.208
2022-01-03 10:45:00+00:00,47174,47239,47125,47126,1073323.82
2022-01-03 11:00:00+00:00,47126,47341,47126,47326,4576925.816
2022-01-03 11:15:00+00:00,47340,47385,47281,47337,3109305.346
2022-01-03 11:30:00+00:00,47335,47354,47251,47280,1114751.208
2022-01-03 11:45:00+00:00,47279,47438,47270,47384,4507730.599
2022-01-03 12:00:00+00:00,47385,47547,47265,47496,7789178.609
2022-01-03 12:15:00+00:00,47490,47568,47339,47388,3984554.623
2022-01-03 12:30:00+00:00,47389,47389,47239,47279,8796675.274
2022-01-03 12:45:00+00:00,47280,47300,47189,47189,3250252.16
2022-01-03 13:00:00+00:00,47190,47306,47190,47254,4274863.288
2022-01-03 13:15:00+00:00,47255,47360,47255,47320,2177234.668
2022-01-03 13:30:00+00:00,47321,47321,47221,47244,1327053.108
2022-01-03 13:45:00+00:00,47249,47277,47144,47169,1409254.429
2022-01-03 14:00:00+00:00,47161,47204,46959,47018,8929994.32
2022-01-03 14:15:00+00:00,47019,47100,46970,47088,2482372.279
2022-01-03 14:30:00+00:00,47087,47302,47087,47139,7144722.245
2022-01-03 14:45:00+00:00,47139,47161,46816,46873,19760034.94
2022-01-03 15:00:00+00:00,46873,46972,46800,46971,14332910.28
2022-01-03 15:15:00+00:00,46982,47017,46839,46956,2826422.178
2022-01-03 15:30:00+00:00,46949,46949,46852,46906,1389850.7
2022-01-03 15:45:00+00:00,46905,46943,46589,46690,8781645.474
2022-01-03 16:00:00+00:00,46687,46785,46588,46639,9124871.169
2022-01-03 16:15:00+00:00,46639,46639,46266,46393,20280410.22
2022-01-03 16:30:00+00:00,46366,46517,46305,46444,5401981.179
2022-01-03 16:45:00+00:00,46438,46484,46329,46479,2901449.563
2022-01-03 17:00:00+00:00,46478,46650,46441,46441,7468410.475
2022-01-03 17:15:00+00:00,46430,46779,46424,46692,6834003.272
2022-01-03 17:30:00+00:00,46692,46788,46581,46602,3931659.552
2022-01-03 17:45:00+00:00,46602,46688,46587,46587,1725625.663
2022-01-03 18:00:00+00:00,46578,46734,46569,46628,2248727.538
2022-01-03 18:15:00+00:00,46621,46680,46597,46631,2595034.839
2022-01-03 18:30:00+00:00,46627,46640,46450,46483,1746841.111
2022-01-03 18:45:00+00:00,46473,46513,46428,46467,1666069.017
2022-01-03 19:00:00+00:00,46467,46553,46365,46503,2663931.386
2022-01-03 19:15:00+00:00,46494,46642,46472,46633,1386632.848
2022-01-03 19:30:00+00:00,46623,46645,46567,46587,820322.8119
2022-01-03 19:45:00+00:00,46586,46614,46406,46406,885639.4645
2022-01-03 20:00:00+00:00,46364,46408,46222,46295,9056559.496
2022-01-03 20:15:00+00:00,46300,46336,45744,45768,31634496.29
2022-01-03 20:30:00+00:00,45768,45945,45704,45789,17644048.34
2022-01-03 20:45:00+00:00,45790,45944,45790,45915,6084993.685
2022-01-03 21:00:00+00:00,45914,45994,45817,45817,3014924.262
2022-01-03 21:15:00+00:00,45817,46045,45817,46019,3626470.508
2022-01-03 21:30:00+00:00,46018,46248,46018,46033,5982599.769
2022-01-03 21:45:00+00:00,46033,46133,45972,45973,1701437.501
2022-01-03 22:00:00+00:00,45972,46146,45972,46114,4378349.015
2022-01-03 22:15:00+00:00,46114,46309,46075,46275,8915546.166
2022-01-03 22:30:00+00:00,46276,46433,46181,46251,3627231.082
2022-01-03 22:45:00+00:00,46252,46297,46130,46224,6562704.253
2022-01-03 23:00:00+00:00,46224,46448,46175,46380,7985796.921
2022-01-03 23:15:00+00:00,46379,46461,46348,46414,3371656.309
2022-01-03 23:30:00+00:00,46415,46567,46380,46529,4253624.38
2022-01-03 23:45:00+00:00,46530,46552,46423,46445,791095.419
2022-01-04 00:00:00+00:00,46448,46519,46360,46397,3114369.326
2022-01-04 00:15:00+00:00,46407,46540,46249,46509,7490035.376
2022-01-04 00:30:00+00:00,46501,46503,46286,46286,2634366.974
2022-01-04 00:45:00+00:00,46287,46333,46166,46256,3113380.204
2022-01-04 01:00:00+00:00,46256,46291,46176,46289,2189636.905
2022-01-04 01:15:00+00:00,46292,46399,46270,46352,4489255.287
2022-01-04 01:30:00+00:00,46350,46350,46103,46131,2032913.682
2022-01-04 01:45:00+00:00,46134,46204,46062,46074,2671286.014
2022-01-04 02:00:00+00:00,46070,46150,45954,45979,7447582.278
2022-01-04 02:15:00+00:00,45984,46152,45960,46148,3499213.724
2022-01-04 02:30:00+00:00,46149,46260,46085,46217,2906401.469
2022-01-04 02:45:00+00:00,46206,46238,46105,46112,1058930.282
2022-01-04 03:00:00+00:00,46116,46152,46036,46043,2181096.462
2022-01-04 03:15:00+00:00,46042,46208,46024,46190,5429778.703
2022-01-04 03:30:00+00:00,46195,46332,46195,46332,2908677.243
2022-01-04 03:45:00+00:00,46343,46386,46310,46332,5467021.952
2022-01-04 04:00:00+00:00,46330,46396,46197,46261,5044997.119
2022-01-04 04:15:00+00:00,46261,46335,46248,46335,1157138.971
2022-01-04 04:30:00+00:00,46334,46416,46037,46161,8944313.313
