time,open,high,low,close,volume,Numberoftrades,TakerVolume
2024-08-05 20:30:00,2428.25,2439.45,2406.00,2427.31,54188.168,65807,24355.217
2024-08-05 20:45:00,2427.43,2435.82,2414.23,2435.30,24259.930,38922,12195.074
2024-08-05 21:00:00,2435.29,2459.99,2420.90,2447.19,55530.389,74321,28687.484
2024-08-05 21:15:00,2447.18,2473.15,2436.14,2438.60,45458.398,56995,24505.906
2024-08-05 21:30:00,2438.59,2449.88,2423.70,2433.85,16855.928,28965,8306.292
2024-08-05 21:45:00,2433.83,2433.83,2420.12,2427.26,11213.066,20668,5387.637
2024-08-05 22:00:00,2427.26,2454.14,2417.99,2427.50,40790.006,60053,20134.438
2024-08-05 22:15:00,2427.49,2459.76,2426.02,2457.51,39366.414,57667,22170.989
2024-08-05 22:30:00,2457.50,2462.46,2446.89,2449.23,17143.663,34058,7644.934
2024-08-05 22:45:00,2449.23,2456.16,2437.34,2451.59,18178.177,32107,7799.073
2024-08-05 23:00:00,2451.59,2473.81,2446.24,2455.69,29853.855,48020,15446.796
2024-08-05 23:15:00,2455.69,2461.65,2435.93,2440.36,21779.858,38024,11068.368
